Date : 2021-06-04 20:39:45
Directory : /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds
Total : 75 files,  9166 codes, 1541 comments, 1397 blanks, all 12104 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3.cc                              | C++      |         54 |         32 |         17 |        103 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3.java                            | Java     |         35 |          2 |          6 |         43 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3_new.cc                          | C++      |         57 |          1 |         12 |         70 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p3/p3_nonstd.cc                       | C++      |         55 |          9 |         14 |         78 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4.cc                              | C++      |        135 |         12 |         36 |        183 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4.java                            | Java     |        314 |          0 |         58 |        372 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/lib/linked_list.cc            | C++      |         13 |          0 |          7 |         20 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/lib/linked_list.hh            | C++      |         23 |          3 |         11 |         37 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4.cc                         | C++      |        133 |         28 |         43 |        204 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/linked_list.cc             | C++      |         47 |          7 |         15 |         69 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/linked_list.hh             | C++      |         42 |          0 |         18 |         60 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/main.cc                    | C++      |         10 |          1 |          2 |         13 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/notepad.cc                 | C++      |         27 |          5 |          9 |         41 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_1/p4/notepad.hh                 | C++      |         14 |          0 |          4 |         18 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/p4/p4_std.cc                          | C++      |         77 |         46 |         22 |        145 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/useful/Reader.java                    | Java     |        130 |          1 |         16 |        147 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/archive/useful/power.cc                       | C++      |         20 |          0 |          3 |         23 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p1_ta.cc                                 | C++      |         60 |          7 |         14 |         81 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p2.cc                                    | C++      |        177 |         19 |         36 |        232 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p3_old.cc                                | C++      |         54 |         32 |         17 |        103 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p3_q.cc                                  | C++      |         69 |         28 |         16 |        113 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/p4_re.cc                                 | C++      |        161 |         24 |         36 |        221 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t2/t2.md                                 | Markdown |         56 |          1 |         13 |         70 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw1/done/t3/t3.md                                 | Markdown |         56 |          0 |         24 |         80 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/median.cc                             | C++      |         31 |          0 |          6 |         37 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1.cc                              | C++      |         73 |          1 |         11 |         85 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1_merge.cc                        | C++      |         54 |          8 |         10 |         72 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/p1/p1_simple.cc                       | C++      |         33 |          6 |          9 |         48 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/archive/test.cc                               | C++      |         12 |          2 |          6 |         20 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/done/p1.cc                                    | C++      |         49 |          0 |         12 |         61 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p2.cc                                         | C++      |         39 |         13 |         15 |         67 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p2_re.cc                                      | C++      |         67 |         16 |         15 |         98 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p2_simple.cc                                  | C++      |        126 |         21 |         24 |        171 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p3.cc                                         | C++      |        111 |         40 |         35 |        186 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p3_n.cc                                       | C++      |        136 |         73 |         41 |        250 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p4.cc                                         | C++      |         60 |         14 |         12 |         86 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/p5.cc                                         | C++      |          6 |          0 |          2 |          8 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/permute.cc                                    | C++      |         19 |         21 |          8 |         48 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/q7.cc                                         | C++      |         15 |         17 |          3 |         35 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/sorts/bubble_sort.hh                          | C++      |         22 |          0 |          4 |         26 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/sorts/insertion_sort.hh                       | C++      |         16 |          0 |          1 |         17 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/sorts/merge_sort.hh                           | C++      |         29 |          0 |          5 |         34 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/sorts/quick_sort.hh                           | C++      |         34 |          3 |          4 |         41 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/test.cc                                       | C++      |         33 |         13 |         12 |         58 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw2/theory/.texpadtmp/DSLecture.log               | Log      |      1,075 |          0 |         26 |      1,101 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/a.java                                        | Java     |          0 |        122 |          0 |        122 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/archive/p3_minimal.c                          | KPL      |        114 |         90 |         47 |        251 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/archive/p4.c                                  | KPL      |         15 |          5 |          7 |         27 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/archive/p4.cc                                 | C++      |         28 |          6 |         18 |         52 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/archive/test.cc                               | C++      |          9 |         10 |          6 |         25 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/done/p1.cc                                    | C++      |        141 |          7 |         25 |        173 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/done/p2.cc                                    | C++      |        112 |         15 |         16 |        143 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/p3.cc                                         | C++      |          0 |        434 |         93 |        527 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/p3_minimal.cc                                 | C++      |        131 |         43 |         38 |        212 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/p3_q.cc                                       | C++      |        272 |        133 |         89 |        494 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/p4_s.cc                                       | C++      |        340 |         43 |         58 |        441 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/theory/.texpadtmp/DSLecture.log               | Log      |      1,075 |          0 |         26 |      1,101 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw3/theory/DSLecture.log                          | Log      |      1,075 |          0 |         26 |      1,101 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/char_test.cc                                  | C++      |          7 |          0 |          1 |          8 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/kmp.cc                                        | C++      |         23 |          0 |          5 |         28 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/mem_test.cc                                   | C++      |         12 |          3 |          1 |         16 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/p1.cc                                         | C++      |         19 |          0 |          3 |         22 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/p2.cc                                         | C++      |         23 |          9 |         11 |         43 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/p3.cc                                         | C++      |        108 |         19 |         20 |        147 |
| /Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/ds/hw4/theory/.texpadtmp/DSLecture.log               | Log      |      1,306 |          0 |         78 |      1,384 |
| Total                                                                                                                               |          |      9,166 |      1,541 |      1,397 |     12,104 |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
